# Fictitious rainfall per month from 1900 to 2012 in three cities
# Format: year, month, city 1 rainfall, city 2 rainfall, city 3 rainfall
1917, 7, 127, 107, 66
1917, 8, 120, 101, 36
1917, 9, 79, 102, 44
1917, 10, 56, 114, 38
1917, 11, 66, 69, 36
1917, 12, 33, 71, 52
1918, 1, 67, 76, 42
1918, 2, 71, 95, 33
1918, 3, 51, 56, 28
1918, 4, 95, 66, 50
1918, 5, 77, 92, 51
1918, 6, 91, 92, 64
1918, 7, 103, 97, 51
1918, 8, 90, 116, 55
1918, 9, 72, 108, 34
1918, 10, 60, 76, 55
1918, 11, 63, 100, 44
1918, 12, 30, 65, 12
1919, 1, 58, 89, 48
1919, 2, 45, 102, 29
1919, 3, 48, 101, 47
1919, 4, 68, 105, 64
1919, 5, 71, 112, 18
1919, 6, 129, 90, 73
1919, 7, 120, 95, 73
1919, 8, 96, 109, 35
1919, 9, 70, 92, 20
1919, 10, 61, 90, 41
1919, 11, 37, 103, 6
1919, 12, 70, 95, 25
1920, 1, 43, 86, 52
1920, 2, 69, 87, 51
1920, 3, 61, 79, 27
1920, 4, 65, 103, 51
1920, 5, 60, 66, 21
1920, 6, 80, 129, 50
1920, 7, 106, 127, 56
1920, 8, 110, 120, 39
1920, 9, 71, 110, 64
1920, 10, 79, 78, 58
1920, 11, 51, 69, 41
1920, 12, 56, 83, 8
1921, 1, 65, 94, 10
1921, 2, 32, 61, 44
1921, 3, 76, 75, 24
1921, 4, 52, 76, 55
1921, 5, 50, 81, 46
1921, 6, 128, 123, 48
1921, 7, 92, 122, 38
1921, 8, 102, 107, 50
1921, 9, 93, 88, 44
1921, 10, 96, 92, 24
1921, 11, 64, 90, 38
1921, 12, 34, 58, 38
1922, 1, 75, 68, 50
1922, 2, 40, 89, 29
1922, 3, 31, 72, 46
1922, 4, 80, 101, 22
1922, 5, 94, 89, 61
1922, 6, 85, 100, 65
1922, 7, 111, 132, 32
1922, 8, 83, 110, 45
1922, 9, 81, 90, 32
1922, 10, 60, 88, 22
1922, 11, 45, 59, 37
1922, 12, 34, 73, 36
1923, 1, 46, 92, 47
1923, 2, 75, 73, 5
1923, 3, 58, 65, 21
1923, 4, 83, 99, 47
1923, 5, 64, 71, 37
1923, 6, 124, 120, 57
1923, 7, 114, 132, 32
1923, 8, 113, 136, 56
1923, 9, 54, 91, 43
1923, 10, 57, 107, 26
1923, 11, 75, 85, 43
1923, 12, 38, 71, 29
1924, 1, 66, 95, 49
1924, 2, 72, 92, 48
1924, 3, 34, 86, 17
1924, 4, 58, 69, 23
1924, 5, 77, 71, 25
1924, 6, 117, 125, 27
1924, 7, 105, 105, 33
1924, 8, 83, 124, 25
1924, 9, 99, 107, 57
1924, 10, 55, 75, 59
1924, 11, 47, 93, 5
1924, 12, 71, 73, 46
1925, 1, 30, 78, 41
1925, 2, 33, 59, 48
1925, 3, 39, 59, 8
1925, 4, 82, 82, 35
1925, 5, 65, 76, 21
1925, 6, 99, 97, 62
1925, 7, 82, 104, 63
1925, 8, 116, 111, 67
1925, 9, 97, 82, 25
1925, 10, 63, 78, 55
1925, 11, 32, 86, 50
1925, 12, 52, 63, 13
1926, 1, 76, 94, 52
1926, 2, 50, 62, 34
1926, 3, 41, 95, 52
1926, 4, 84, 68, 17
1926, 5, 52, 76, 33
1926, 6, 97, 125, 49
1926, 7, 92, 137, 37
1926, 8, 90, 127, 30
1926, 9, 60, 98, 42
1926, 10, 54, 113, 33
1926, 11, 62, 91, 52
1926, 12, 62, 87, 48
1927, 1, 54, 64, 30
1927, 2, 60, 99, 30
1927, 3, 45, 81, 36
1927, 4, 61, 82, 58
1927, 5, 57, 65, 57
1927, 6, 125, 90, 56
1927, 7, 104, 132, 68
1927, 8, 127, 96, 66
1927, 9, 77, 96, 15
1927, 10, 68, 95, 55
1927, 11, 55, 76, 38
1927, 12, 78, 82, 36
1928, 1, 67, 56, 45
1928, 2, 51, 96, 51
1928, 3, 63, 72, 15
1928, 4, 85, 85, 30
1928, 5, 54, 72, 46
1928, 6, 90, 100, 26
1928, 7, 103, 133, 29
1928, 8, 94, 110, 29
1928, 9, 71, 103, 63
1928, 10, 79, 69, 62
1928, 11, 49, 55, 24
1928, 12, 33, 63, 12
1929, 1, 48, 62, 20
1929, 2, 77, 62, 51
1929, 3, 70, 75, 8
1929, 4, 83, 81, 23
1929, 5, 64, 92, 56
1929, 6, 126, 106, 35
1929, 7, 96, 118, 45
1929, 8, 80, 120, 46
1929, 9, 94, 88, 62
1929, 10, 50, 102, 33
1929, 11, 62, 76, 47
1929, 12, 70, 68, 33
1930, 1, 51, 100, 30
1930, 2, 60, 57, 46
1930, 3, 65, 78, 38
1930, 4, 70, 67, 37
1930, 5, 83, 106, 62
1930, 6, 127, 126, 51
1930, 7, 108, 137, 61
1930, 8, 81, 117, 69
1930, 9, 51, 93, 37
1930, 10, 56, 78, 63
1930, 11, 38, 65, 18
1930, 12, 32, 72, 19
1931, 1, 76, 57, 15
1931, 2, 62, 71, 53
1931, 3, 32, 70, 25
1931, 4, 76, 96, 51
1931, 5, 85, 76, 61
1931, 6, 112, 111, 57
1931, 7, 85, 108, 42
1931, 8, 125, 114, 29
1931, 9, 89, 92, 27
1931, 10, 95, 83, 19
1931, 11, 34, 103, 25
1931, 12, 33, 102, 50
1932, 1, 38, 87, 6
1932, 2, 66, 101, 15
1932, 3, 40, 63, 27
1932, 4, 60, 107, 15
1932, 5, 98, 83, 27
1932, 6, 122, 104, 48
1932, 7, 92, 137, 46
1932, 8, 104, 129, 29
1932, 9, 63, 95, 39
1932, 10, 76, 83, 35
1932, 11, 62, 65, 43
1932, 12, 75, 78, 7
1933, 1, 71, 90, 7
1933, 2, 72, 67, 32
1933, 3, 32, 102, 25
1933, 4, 67, 107, 39
1933, 5, 78, 95, 43
1933, 6, 115, 104, 33
1933, 7, 127, 135, 74
1933, 8, 99, 137, 52
1933, 9, 57, 94, 51
1933, 10, 76, 96, 28
1933, 11, 40, 70, 12
1933, 12, 30, 64, 12
1934, 1, 70, 62, 35
1934, 2, 34, 71, 7
1934, 3, 66, 96, 7
1934, 4, 60, 75, 36
1934, 5, 67, 110, 15
1934, 6, 93, 124, 31
1934, 7, 123, 109, 69
1934, 8, 80, 97, 57
1934, 9, 69, 82, 51
1934, 10, 95, 67, 53
1934, 11, 61, 65, 24
1934, 12, 71, 82, 14
1935, 1, 53, 59, 46
1935, 2, 36, 76, 7
1935, 3, 66, 102, 7
1935, 4, 80, 85, 55
1935, 5, 65, 104, 30
1935, 6, 86, 134, 68
1935, 7, 128, 109, 44
1935, 8, 117, 111, 45
1935, 9, 60, 72, 53
1935, 10, 56, 83, 62
1935, 11, 74, 69, 42
1935, 12, 49, 100, 11
1936, 1, 38, 64, 28
1936, 2, 67, 101, 39
1936, 3, 33, 65, 54
1936, 4, 74, 110, 25
1936, 5, 62, 69, 39
1936, 6, 107, 101, 73
1936, 7, 102, 90, 47
1936, 8, 88, 135, 47
1936, 9, 62, 88, 32
1936, 10, 96, 102, 19
1936, 11, 72, 59, 51
1936, 12, 56, 66, 45
1937, 1, 50, 80, 23
1937, 2, 56, 86, 39
1937, 3, 30, 79, 16
1937, 4, 69, 100, 19
1937, 5, 99, 114, 22
1937, 6, 128, 92, 33
1937, 7, 128, 98, 44
1937, 8, 92, 133, 56
1937, 9, 67, 89, 17
1937, 10, 79, 89, 40
1937, 11, 48, 58, 36
1937, 12, 79, 96, 51
1938, 1, 78, 85, 34
1938, 2, 41, 67, 5
1938, 3, 41, 57, 45
1938, 4, 88, 113, 16
1938, 5, 73, 78, 28
1938, 6, 92, 100, 42
1938, 7, 118, 124, 68
1938, 8, 89, 105, 65
1938, 9, 73, 110, 45
1938, 10, 98, 81, 60
1938, 11, 54, 85, 16
1938, 12, 70, 65, 42
1939, 1, 39, 64, 18
1939, 2, 33, 92, 27
1939, 3, 39, 100, 34
1939, 4, 97, 101, 21
1939, 5, 70, 84, 29
1939, 6, 103, 126, 57
1939, 7, 114, 102, 70
1939, 8, 110, 105, 36
1939, 9, 99, 79, 54
1939, 10, 57, 88, 16
1939, 11, 73, 59, 6
1939, 12, 46, 78, 22
1940, 1, 57, 77, 49
1940, 2, 68, 80, 46
1940, 3, 73, 100, 5
1940, 4, 77, 66, 17
1940, 5, 79, 111, 43
1940, 6, 112, 125, 65
1940, 7, 85, 111, 52
1940, 8, 85, 96, 53
1940, 9, 58, 75, 53
1940, 10, 67, 82, 36
1940, 11, 78, 89, 16
1940, 12, 62, 104, 10
1941, 1, 51, 61, 35
1941, 2, 36, 88, 18
1941, 3, 73, 65, 11
1941, 4, 97, 68, 49
1941, 5, 80, 110, 47
1941, 6, 100, 112, 64
1941, 7, 123, 104, 40
1941, 8, 93, 99, 45
1941, 9, 86, 99, 33
1941, 10, 98, 76, 64
1941, 11, 72, 101, 24
1941, 12, 77, 78, 40
1942, 1, 48, 98, 8
1942, 2, 55, 69, 46
1942, 3, 36, 77, 24
1942, 4, 76, 111, 23
1942, 5, 99, 85, 49
1942, 6, 83, 125, 72
1942, 7, 125, 97, 41
1942, 8, 106, 98, 68
1942, 9, 87, 105, 35
1942, 10, 93, 73, 28
1942, 11, 44, 71, 23
1942, 12, 58, 92, 47
1943, 1, 65, 72, 28
1943, 2, 53, 74, 46
1943, 3, 56, 76, 33
1943, 4, 62, 94, 34
1943, 5, 97, 109, 23
1943, 6, 105, 95, 41
1943, 7, 104, 128, 37
1943, 8, 83, 117, 56
1943, 9, 56, 97, 58
1943, 10, 67, 99, 22
1943, 11, 70, 68, 53
1943, 12, 52, 89, 20
1944, 1, 69, 83, 53
1944, 2, 74, 57, 13
1944, 3, 57, 67, 13
1944, 4, 85, 103, 25
1944, 5, 57, 113, 21
1944, 6, 116, 102, 60
1944, 7, 105, 92, 59
1944, 8, 90, 125, 68
1944, 9, 73, 93, 32
1944, 10, 90, 84, 30
1944, 11, 51, 83, 13
1944, 12, 36, 82, 41
1945, 1, 70, 82, 45
1945, 2, 56, 82, 44
1945, 3, 55, 103, 21
1945, 4, 95, 93, 27
1945, 5, 88, 86, 59
1945, 6, 127, 98, 25
1945, 7, 90, 112, 60
1945, 8, 104, 132, 53
1945, 9, 87, 96, 29
1945, 10, 97, 81, 29
1945, 11, 36, 82, 7
1945, 12, 47, 72, 6
1946, 1, 39, 65, 46
1946, 2, 62, 74, 47
1946, 3, 75, 83, 20
1946, 4, 77, 107, 61
1946, 5, 63, 110, 54
1946, 6, 92, 131, 55
1946, 7, 101, 111, 42
1946, 8, 118, 118, 69
1946, 9, 74, 109, 58
1946, 10, 61, 67, 38
1946, 11, 49, 94, 34
1946, 12, 73, 81, 27
1947, 1, 56, 72, 48
1947, 2, 78, 97, 36
1947, 3, 57, 102, 51
1947, 4, 71, 92, 45
1947, 5, 58, 81, 39
1947, 6, 93, 136, 53
1947, 7, 117, 132, 41
1947, 8, 91, 104, 33
1947, 9, 65, 95, 40
1947, 10, 64, 87, 26
1947, 11, 46, 87, 7
1947, 12, 43, 78, 10
1948, 1, 40, 79, 12
1948, 2, 67, 63, 52
1948, 3, 73, 66, 24
1948, 4, 97, 86, 52
1948, 5, 73, 105, 35
1948, 6, 99, 129, 69
1948, 7, 122, 109, 64
1948, 8, 104, 134, 33
1948, 9, 62, 79, 62
1948, 10, 61, 71, 45
1948, 11, 36, 91, 54
1948, 12, 51, 95, 25
1949, 1, 38, 73, 41
1949, 2, 39, 76, 49
1949, 3, 77, 84, 53
1949, 4, 89, 69, 20
1949, 5, 75, 114, 47
1949, 6, 100, 117, 73
1949, 7, 116, 105, 55
1949, 8, 116, 95, 71
1949, 9, 69, 98, 55
1949, 10, 66, 111, 51
1949, 11, 60, 77, 18
1949, 12, 56, 97, 53
1950, 1, 79, 82, 42
1950, 2, 55, 71, 10
1950, 3, 59, 104, 23
1950, 4, 77, 107, 34
1950, 5, 58, 72, 39
1950, 6, 101, 139, 42
1950, 7, 102, 135, 55
1950, 8, 111, 133, 30
1950, 9, 61, 89, 15
1950, 10, 86, 113, 56
1950, 11, 72, 63, 35
1950, 12, 59, 80, 23
1951, 1, 55, 80, 24
1951, 2, 53, 83, 29
1951, 3, 71, 68, 24
1951, 4, 67, 98, 29
1951, 5, 80, 91, 64
1951, 6, 96, 108, 51
1951, 7, 125, 103, 43
1951, 8, 102, 124, 36
1951, 9, 61, 77, 17
1951, 10, 67, 77, 36
1951, 11, 40, 90, 26
1951, 12, 64, 69, 38
1952, 1, 62, 86, 36
1952, 2, 31, 74, 32
1952, 3, 65, 70, 35
1952, 4, 59, 99, 21
1952, 5, 88, 82, 43
1952, 6, 124, 94, 66
1952, 7, 99, 90, 30
1952, 8, 127, 107, 32
1952, 9, 54, 74, 53
1952, 10, 92, 80, 43
1952, 11, 50, 59, 29
1952, 12, 79, 87, 8
1953, 1, 55, 94, 42
1953, 2, 33, 77, 33
1953, 3, 55, 70, 5
1953, 4, 97, 87, 29
1953, 5, 56, 88, 57
1953, 6, 83, 116, 41
1953, 7, 99, 126, 60
1953, 8, 105, 99, 62
1953, 9, 66, 79, 39
1953, 10, 65, 91, 25
1953, 11, 58, 62, 17
1953, 12, 40, 78, 31
1954, 1, 59, 59, 39
1954, 2, 73, 92, 25
1954, 3, 67, 86, 18
1954, 4, 54, 99, 45
1954, 5, 64, 68, 50
1954, 6, 122, 102, 35
1954, 7, 113, 134, 45
1954, 8, 123, 102, 58
1954, 9, 84, 102, 32
1954, 10, 90, 110, 62
1954, 11, 45, 103, 46
1954, 12, 62, 96, 53
1955, 1, 55, 74, 9
1955, 2, 67, 97, 52
1955, 3, 42, 62, 15
1955, 4, 85, 75, 16
1955, 5, 80, 102, 21
1955, 6, 81, 103, 52
1955, 7, 97, 99, 36
1955, 8, 82, 91, 39
1955, 9, 98, 95, 44
1955, 10, 56, 70, 57
1955, 11, 53, 74, 21
1955, 12, 32, 100, 47
1956, 1, 43, 102, 11
1956, 2, 62, 104, 37
1956, 3, 64, 64, 13
1956, 4, 89, 72, 50
1956, 5, 74, 75, 60
1956, 6, 114, 95, 61
1956, 7, 123, 99, 39
1956, 8, 104, 110, 49
1956, 9, 81, 87, 22
1956, 10, 88, 78, 43
1956, 11, 36, 69, 43
1956, 12, 53, 88, 43
1957, 1, 69, 66, 7
1957, 2, 79, 80, 13
1957, 3, 38, 98, 10
1957, 4, 93, 108, 30
1957, 5, 80, 95, 36
1957, 6, 125, 124, 52
1957, 7, 96, 100, 74
1957, 8, 85, 91, 58
1957, 9, 81, 93, 24
1957, 10, 70, 71, 54
1957, 11, 32, 66, 33
1957, 12, 49, 75, 45
1958, 1, 43, 89, 25
1958, 2, 55, 86, 12
1958, 3, 73, 84, 31
1958, 4, 57, 99, 24
1958, 5, 81, 81, 33
1958, 6, 108, 118, 27
1958, 7, 112, 114, 51
1958, 8, 96, 136, 40
1958, 9, 77, 105, 44
1958, 10, 73, 90, 58
1958, 11, 59, 93, 20
1958, 12, 47, 73, 54
1959, 1, 64, 68, 16
1959, 2, 55, 95, 18
1959, 3, 71, 64, 49
1959, 4, 94, 71, 22
1959, 5, 83, 67, 35
1959, 6, 95, 130, 38
1959, 7, 101, 130, 43
1959, 8, 93, 95, 61
1959, 9, 58, 100, 48
1959, 10, 69, 94, 18
1959, 11, 36, 77, 13
1959, 12, 60, 81, 26
1960, 1, 58, 83, 25
1960, 2, 69, 85, 49
1960, 3, 43, 57, 36
1960, 4, 90, 72, 62
1960, 5, 94, 102, 37
1960, 6, 121, 128, 65
1960, 7, 88, 133, 57
1960, 8, 87, 127, 35
1960, 9, 62, 79, 39
1960, 10, 54, 113, 21
1960, 11, 64, 60, 24
1960, 12, 54, 68, 18
1961, 1, 70, 93, 18
1961, 2, 63, 72, 15
1961, 3, 43, 102, 19
1961, 4, 53, 87, 45
1961, 5, 52, 66, 27
1961, 6, 110, 100, 58
1961, 7, 92, 133, 35
1961, 8, 116, 98, 66
1961, 9, 93, 82, 29
1961, 10, 85, 96, 48
1961, 11, 74, 88, 17
1961, 12, 32, 77, 31
1962, 1, 69, 59, 31
1962, 2, 42, 90, 53
1962, 3, 33, 79, 22
1962, 4, 67, 75, 26
1962, 5, 91, 114, 40
1962, 6, 118, 134, 72
1962, 7, 128, 118, 30
1962, 8, 84, 115, 27
1962, 9, 75, 82, 38
1962, 10, 52, 76, 48
1962, 11, 45, 96, 29
1962, 12, 71, 103, 15
1963, 1, 75, 84, 7
1963, 2, 42, 70, 10
1963, 3, 36, 66, 41
1963, 4, 51, 110, 45
1963, 5, 59, 88, 42
1963, 6, 118, 126, 41
1963, 7, 123, 114, 61
1963, 8, 96, 111, 66
1963, 9, 91, 109, 30
1963, 10, 93, 66, 15
1963, 11, 62, 64, 49
1963, 12, 68, 91, 22
1964, 1, 43, 101, 12
1964, 2, 33, 83, 20
1964, 3, 36, 100, 12
1964, 4, 81, 93, 55
1964, 5, 81, 110, 42
1964, 6, 93, 127, 37
1964, 7, 122, 103, 74
1964, 8, 118, 90, 58
1964, 9, 76, 71, 57
1964, 10, 84, 103, 36
1964, 11, 51, 88, 14
1964, 12, 56, 88, 22
1965, 1, 38, 80, 28
1965, 2, 73, 102, 25
1965, 3, 67, 81, 13
1965, 4, 84, 67, 40
1965, 5, 93, 104, 54
1965, 6, 92, 127, 58
1965, 7, 123, 90, 40
1965, 8, 91, 121, 70
1965, 9, 55, 111, 54
1965, 10, 54, 104, 16
1965, 11, 71, 56, 13
1965, 12, 45, 100, 44
1966, 1, 41, 86, 42
1966, 2, 70, 95, 35
1966, 3, 37, 89, 16
1966, 4, 50, 101, 55
1966, 5, 81, 91, 31
1966, 6, 111, 91, 72
1966, 7, 110, 92, 59
1966, 8, 91, 92, 57
1966, 9, 60, 80, 60
1966, 10, 70, 80, 41
1966, 11, 48, 72, 13
1966, 12, 48, 95, 37
1967, 1, 74, 68, 16
1967, 2, 61, 77, 21
1967, 3, 62, 103, 20
1967, 4, 72, 72, 22
1967, 5, 81, 89, 32
1967, 6, 88, 122, 67
1967, 7, 90, 125, 50
1967, 8, 88, 125, 57
1967, 9, 59, 94, 20
1967, 10, 94, 83, 27
1967, 11, 74, 71, 46
1967, 12, 72, 93, 50
1968, 1, 58, 104, 50
1968, 2, 37, 103, 10
1968, 3, 68, 94, 10
1968, 4, 94, 75, 44
1968, 5, 55, 77, 37
1968, 6, 85, 111, 61
1968, 7, 87, 99, 53
1968, 8, 87, 126, 39
1968, 9, 64, 104, 44
1968, 10, 64, 93, 49
1968, 11, 37, 64, 11
1968, 12, 40, 63, 19
1969, 1, 56, 78, 48
1969, 2, 56, 70, 12
1969, 3, 32, 75, 11
1969, 4, 52, 65, 29
1969, 5, 67, 76, 44
1969, 6, 107, 119, 61
1969, 7, 115, 91, 50
1969, 8, 85, 129, 59
1969, 9, 60, 100, 19
1969, 10, 93, 108, 31
1969, 11, 67, 64, 12
1969, 12, 47, 81, 44
1970, 1, 42, 96, 23
1970, 2, 73, 94, 10
1970, 3, 34, 79, 54
1970, 4, 59, 81, 16
1970, 5, 99, 103, 48
1970, 6, 82, 108, 51
1970, 7, 99, 108, 39
1970, 8, 99, 117, 26
1970, 9, 96, 98, 44
1970, 10, 92, 86, 19
1970, 11, 33, 55, 5
1970, 12, 78, 95, 29
1971, 1, 56, 66, 15
1971, 2, 67, 86, 5
1971, 3, 77, 85, 17
1971, 4, 64, 99, 48
1971, 5, 74, 76, 26
1971, 6, 94, 134, 32
1971, 7, 110, 114, 43
1971, 8, 84, 120, 58
1971, 9, 85, 100, 21
1971, 10, 87, 77, 61
1971, 11, 69, 83, 36
1971, 12, 51, 61, 9
1972, 1, 62, 104, 9
1972, 2, 32, 73, 28
1972, 3, 77, 84, 46
1972, 4, 82, 71, 36
1972, 5, 55, 79, 40
1972, 6, 124, 118, 74
1972, 7, 85, 124, 39
1972, 8, 112, 128, 68
1972, 9, 51, 95, 24
1972, 10, 73, 87, 26
1972, 11, 66, 65, 51
1972, 12, 65, 85, 10
1973, 1, 68, 62, 51
1973, 2, 78, 101, 46
1973, 3, 43, 97, 5
1973, 4, 81, 95, 52
1973, 5, 77, 84, 45
1973, 6, 103, 131, 42
1973, 7, 105, 92, 55
1973, 8, 121, 130, 56
1973, 9, 82, 104, 35
1973, 10, 98, 107, 58
1973, 11, 67, 104, 43
1973, 12, 63, 91, 51
1974, 1, 65, 104, 25
1974, 2, 62, 73, 15
1974, 3, 69, 97, 42
1974, 4, 89, 113, 39
1974, 5, 75, 71, 63
1974, 6, 112, 108, 51
1974, 7, 116, 99, 52
1974, 8, 87, 120, 55
1974, 9, 77, 72, 16
1974, 10, 97, 86, 27
1974, 11, 33, 57, 5
1974, 12, 43, 88, 40
1975, 1, 54, 59, 53
1975, 2, 75, 88, 52
1975, 3, 50, 59, 21
1975, 4, 55, 87, 53
1975, 5, 91, 82, 52
1975, 6, 96, 125, 51
1975, 7, 116, 110, 25
1975, 8, 117, 120, 71
1975, 9, 98, 85, 36
1975, 10, 82, 101, 32
1975, 11, 70, 100, 28
1975, 12, 32, 92, 24
1976, 1, 33, 85, 42
1976, 2, 40, 91, 11
1976, 3, 69, 99, 5
1976, 4, 68, 76, 33
1976, 5, 56, 87, 40
1976, 6, 113, 110, 67
1976, 7, 80, 108, 63
1976, 8, 88, 94, 29
1976, 9, 84, 73, 26
1976, 10, 95, 75, 45
1976, 11, 79, 65, 31
1976, 12, 75, 59, 37
1977, 1, 30, 96, 48
